iter	RMSE
0	58.64825675
1	55.13233268
2	51.8412793
3	48.75891079
4	45.83447759
5	43.14672447
6	40.59141254
7	38.21066047
8	35.99004547
9	33.8947706
10	31.92733862
11	30.07117852
12	28.33805173
13	26.72065411
14	25.2070059
15	23.77507042
16	22.42259065
17	21.15844663
18	19.97051775
19	18.8675006
20	17.8244297
21	16.85862289
22	15.95348228
23	15.09938978
24	14.31148014
25	13.57519266
26	12.89077636
27	12.246206
28	11.63485916
29	11.08008433
30	10.55172382
31	10.05943071
32	9.606373788
33	9.191087216
34	8.795853985
35	8.424233716
36	8.079502177
37	7.760011947
38	7.47287405
39	7.198025345
40	6.943822416
41	6.710090027
42	6.500882151
43	6.301613541
44	6.127735812
45	5.95969761
46	5.804395897
47	5.661081334
48	5.523000413
49	5.398078025
50	5.290085867
51	5.186343932
52	5.090128613
53	5.001468472
54	4.9205181
55	4.845733903
56	4.779144147
57	4.712547749
58	4.651707393
59	4.597845981
60	4.548097361
61	4.500962171
62	4.457249537
63	4.417582704
64	4.377071988
65	4.342086804
66	4.3078783
67	4.276550529
68	4.247114871
69	4.21618539
70	4.192178453
71	4.169028835
72	4.143263664
73	4.124288757
74	4.104679176
75	4.084669149
76	4.066492476
77	4.047117067
78	4.028912286
79	4.013584092
80	3.996852107
81	3.983936755
82	3.969605303
83	3.957785287
84	3.944787031
85	3.934405689
86	3.925220657
87	3.914425661
88	3.90212041
89	3.891156967
90	3.880650264
91	3.871003785
92	3.861481148
93	3.851543207
94	3.84559993
95	3.83732931
96	3.830586686
97	3.823122114
98	3.815281945
99	3.807279206
100	3.800894669
101	3.794115687
102	3.786572964
103	3.779586493
104	3.77440682
105	3.767321824
106	3.760012064
107	3.754963969
108	3.749061168
109	3.742441827
110	3.738262518
111	3.734507143
112	3.730384462
113	3.726358387
114	3.721896456
115	3.717902886
116	3.713396555
117	3.710085388
118	3.704815869
119	3.70159119
120	3.697725792
121	3.693973852
122	3.690974227
123	3.686498087
124	3.683180953
125	3.679816293
126	3.675248463
127	3.671744998
128	3.667594855
129	3.663231061
130	3.658833755
131	3.655494999
132	3.652268642
133	3.649201066
134	3.646117687
135	3.643336799
136	3.640780902
137	3.637942809
138	3.634786668
139	3.632159732
140	3.628502611
141	3.62617884
142	3.624022947
143	3.621444089
144	3.619075832
145	3.616132933
146	3.614448003
147	3.61211049
148	3.610137192
149	3.607787571
150	3.605267831
151	3.602658675
152	3.600534041
153	3.598783447
154	3.596847107
155	3.594370898
156	3.591799734
