iter	Passed	Remaining
0	53	80335
1	98	73880
2	147	73446
3	189	70753
4	235	70379
5	284	70804
6	332	70861
7	383	71497
8	430	71257
9	477	71145
10	526	71256
11	579	71860
12	630	72176
13	684	72680
14	734	72709
15	782	72540
16	833	72676
17	882	72646
18	930	72563
19	1003	74258
20	1070	75380
21	1120	75291
22	1171	75198
23	1222	75200
24	1275	75238
25	1325	75147
26	1380	75296
27	1430	75206
28	1482	75196
29	1535	75241
30	1587	75242
31	1638	75166
32	1689	75103
33	1736	74883
34	1783	74668
35	1832	74532
36	1884	74512
37	1936	74497
38	1985	74373
39	2038	74403
40	2088	74315
41	2138	74225
42	2187	74106
43	2235	73990
44	2287	73968
45	2338	73903
46	2384	73729
47	2436	73709
48	2485	73597
49	2536	73545
50	2584	73435
51	2637	73448
52	2688	73396
53	2735	73246
54	2782	73110
55	2834	73096
56	2884	73018
57	2936	72995
58	2987	72978
59	3038	72915
60	3095	73027
61	3151	73083
62	3201	73019
63	3245	72828
64	3300	72860
65	3349	72777
66	3393	72577
67	3439	72436
68	3490	72384
69	3538	72295
70	3583	72120
71	3629	71993
72	3678	71915
73	3724	71764
74	3767	71575
75	3812	71437
76	3859	71322
77	3907	71235
78	3953	71108
79	4000	71000
80	4047	70909
81	4094	70811
82	4139	70666
83	4182	70498
84	4230	70421
85	4282	70405
86	4327	70288
87	4372	70151
88	4419	70070
89	4471	70050
90	4516	69927
91	4562	69824
92	4612	69785
93	4662	69737
94	4708	69640
95	4757	69580
96	4803	69475
97	4849	69376
98	4897	69312
99	4942	69200
100	4991	69142
101	5034	69004
102	5079	68898
103	5129	68858
104	5171	68701
105	5220	68650
106	5265	68556
107	5310	68449
108	5358	68381
109	5405	68302
110	5450	68205
111	5496	68113
112	5545	68066
113	5595	68023
114	5637	67892
115	5685	67835
116	5733	67770
117	5780	67697
118	5826	67621
119	5872	67531
120	5917	67434
121	5960	67327
122	6006	67247
123	6054	67181
124	6102	67129
125	6152	67087
126	6198	67008
127	6248	66980
128	6302	66980
129	6349	66914
130	6396	66848
131	6445	66798
132	6494	66753
133	6539	66663
134	6586	66593
135	6632	66520
136	6682	66480
137	6727	66395
138	6776	66354
139	6821	66264
140	6868	66197
141	6917	66156
142	6966	66107
143	7015	66058
144	7060	65978
145	7107	65912
146	7156	65869
147	7205	65824
148	7248	65723
149	7294	65648
150	7342	65600
151	7398	65616
152	7449	65586
153	7494	65507
154	7546	65481
155	7597	65453
156	7646	65413
157	7698	65388
158	7742	65301
159	7792	65261
160	7836	65172
161	7887	65144
162	7944	65161
163	7990	65092
164	8042	65074
165	8089	65011
166	8137	64956
167	8188	64924
168	8236	64870
169	8301	64946
170	8347	64874
171	8392	64795
172	8441	64749
173	8489	64699
174	8538	64647
175	8590	64621
176	8659	64723
177	8725	64806
178	8774	64753
179	8822	64698
180	8870	64640
181	8918	64582
182	8968	64542
183	9015	64481
184	9062	64414
185	9116	64402
186	9162	64330
187	9209	64268
188	9256	64206
189	9300	64127
190	9349	64077
191	9394	64001
192	9436	63906
193	9487	63868
194	9530	63780
195	9575	63709
196	9625	63665
197	9673	63609
198	9720	63552
199	9770	63508
200	9820	63463
201	9867	63407
202	9913	63336
203	9963	63295
204	10011	63242
205	10054	63157
206	10101	63096
207	10146	63023
208	10184	62912
209	10230	62841
210	10275	62775
211	10322	62712
212	10369	62656
213	10409	62555
214	10455	62488
215	10505	62447
216	10559	62431
217	10598	62327
218	10646	62272
219	10692	62212
220	10744	62179
221	10785	62092
222	10836	62057
223	10892	62046
224	10935	61966
225	10982	61911
226	11028	61847
227	11073	61776
228	11117	61705
229	11164	61647
230	11212	61596
231	11265	61569
232	11313	61521
233	11357	61449
234	11405	61394
235	11451	61332
236	11500	61285
237	11550	61246
238	11601	61209
239	11648	61154
240	11696	61101
241	11743	61044
242	11788	60979
243	11834	60919
244	11880	60855
245	11933	60830
246	11985	60803
247	12036	60765
248	12086	60723
249	12133	60669
250	12182	60623
251	12233	60585
252	12281	60533
253	12334	60509
254	12384	60464
255	12429	60398
256	12479	60356
257	12528	60310
258	12574	60252
259	12623	60206
260	12668	60138
261	12716	60086
262	12761	60025
263	12814	59993
264	12869	59975
265	12921	59943
266	12967	59884
267	13020	59856
268	13068	59805
269	13116	59752
270	13162	59692
271	13214	59660
272	13266	59627
273	13314	59574
274	13358	59506
275	13400	59429
276	13445	59366
277	13500	59343
278	13553	59316
279	13602	59269
280	13650	59218
281	13696	59157
282	13744	59105
283	13792	59056
284	13839	59001
285	13890	58961
286	13944	58938
287	13991	58881
288	14041	58837
289	14088	58784
290	14143	58759
291	14192	58714
292	14243	58674
293	14277	58567
294	14326	58520
295	14369	58447
296	14412	58377
297	14459	58324
298	14510	58286
299	14563	58253
300	14620	58238
301	14660	58155
302	14712	58120
303	14760	58071
304	14814	58042
305	14867	58011
306	14944	58073
307	15001	58058
308	15050	58009
309	15099	57962
310	15149	57918
311	15205	57897
312	15264	57888
313	15315	57847
314	15359	57781
315	15409	57738
316	15464	57709
317	15516	57675
318	15572	57651
319	15618	57594
320	15669	57553
321	15724	57527
322	15775	57483
323	15825	57439
324	15852	57313
325	15897	57251
326	15946	57201
327	15992	57142
328	16042	57101
329	16089	57044
330	16145	57021
331	16192	56965
332	16242	56923
333	16295	56886
334	16351	56864
335	16403	56826
336	16452	56777
337	16497	56717
338	16545	56664
339	16592	56608
340	16645	56574
341	16703	56556
342	16752	56510
343	16801	56462
344	16848	56406
345	16897	56356
346	16944	56303
347	16995	56261
348	17038	56194
349	17084	56134
350	17129	56074
351	17183	56042
352	17205	55906
353	17256	55865
354	17312	55840
355	17358	55780
356	17406	55731
357	17456	55686
358	17517	55674
359	17579	55667
360	17631	55630
361	17688	55607
362	17743	55576
363	17799	55551
364	17852	55513
365	17904	55474
366	17963	55456
367	18020	55433
368	18080	55416
369	18127	55362
370	18172	55302
371	18218	55242
372	18261	55176
373	18309	55124
374	18354	55063
375	18395	54990
376	18440	54929
377	18494	54897
378	18556	54887
379	18643	54949
380	18727	55003
381	18795	55008
382	18860	55005
383	18916	54976
384	18972	54945
385	19031	54924
386	19081	54878
387	19128	54821
388	19175	54765
389	19226	54720
390	19273	54666
391	19319	54607
392	19366	54552
393	19412	54492
394	19459	54438
395	19506	54382
396	19556	54333
397	19606	54286
398	19663	54259
399	19720	54230
400	19768	54179
401	19817	54127
402	19868	54083
403	19921	54043
404	19978	54017
405	20041	54002
406	20092	53958
407	20150	53931
408	20195	53872
409	20254	53846
410	20308	53810
411	20361	53770
412	20393	53674
413	20445	53631
414	20493	53579
415	20542	53528
416	20594	53487
417	20643	53435
418	20697	53398
419	20743	53340
420	20798	53304
421	20847	53254
422	20899	53213
423	20950	53166
424	20997	53110
425	21047	53063
426	21097	53015
427	21142	52955
428	21195	52914
429	21244	52865
430	21292	52810
431	21336	52749
432	21385	52698
433	21432	52643
434	21484	52599
435	21534	52553
436	21583	52500
437	21626	52437
438	21674	52384
439	21715	52315
440	21762	52260
441	21814	52216
442	21871	52184
443	21925	52147
444	21976	52102
445	22028	52057
446	22078	52009
447	22125	51955
448	22182	51924
449	22228	51865
450	22282	51828
451	22332	51779
452	22378	51722
453	22426	51670
454	22477	51623
455	22528	51577
456	22578	51530
457	22626	51477
458	22675	51426
459	22720	51368
460	22769	51317
461	22816	51263
462	22859	51198
463	22905	51142
464	22956	51097
465	23002	51040
466	23051	50988
467	23099	50937
468	23146	50882
469	23189	50820
470	23237	50766
471	23287	50720
472	23340	50678
473	23388	50625
474	23438	50577
475	23486	50525
476	23533	50471
477	23583	50424
478	23624	50356
479	23673	50306
480	23718	50248
481	23737	50134
482	23789	50089
483	23837	50038
484	23883	49983
485	23931	49930
486	23976	49872
487	24023	49819
488	24076	49778
489	24135	49748
490	24187	49704
491	24238	49658
492	24289	49612
493	24336	49560
494	24388	49516
495	24430	49451
496	24482	49407
497	24529	49355
498	24580	49308
499	24630	49261
500	24687	49227
501	24732	49168
502	24776	49109
503	24823	49056
504	24866	48994
505	24914	48942
506	24963	48892
507	25012	48842
508	25070	48811
509	25133	48788
510	25183	48739
511	25233	48693
512	25288	48654
513	25338	48606
514	25389	48560
515	25446	48526
516	25494	48474
517	25546	48429
518	25592	48373
519	25644	48329
520	25692	48277
521	25746	48237
522	25799	48194
523	25849	48146
524	25906	48111
525	25954	48060
526	26007	48017
527	26056	47966
528	26105	47918
529	26149	47859
530	26199	47810
531	26254	47770
532	26308	47730
533	26367	47699
534	26412	47640
535	26470	47606
536	26522	47562
537	26574	47518
538	26625	47471
539	26678	47428
540	26728	47379
541	26774	47325
542	26826	47280
543	26879	47237
544	26952	47228
545	27035	47238
546	27078	47177
547	27127	47126
548	27175	47074
549	27225	47025
550	27285	46994
551	27341	46955
552	27396	46915
553	27444	46863
554	27495	46817
555	27549	46775
556	27605	46735
557	27659	46694
558	27712	46650
559	27771	46615
560	27826	46576
561	27875	46525
562	27926	46477
563	27985	46443
564	28044	46409
565	28098	46367
566	28148	46319
567	28208	46285
568	28259	46237
569	28319	46205
570	28370	46157
571	28426	46118
572	28485	46083
573	28536	46036
574	28585	45985
575	28643	45949
576	28697	45906
577	28754	45868
578	28804	45817
579	28854	45768
580	28908	45726
581	28961	45681
582	29009	45628
583	29068	45593
584	29123	45552
585	29174	45504
